barcode,id
7613269299196,106512000000
7610121400189,106512000000
3417761667750,747540400200
7613433697209,703761100000
7610251101895,703761100000
7617400042818,160621400000
4001868092158,721461000021
4005808408566,513450400000
7613433598803,841763703880
3600523921225,514757600000
2150218000007,233013581200
7617027879934,233013581200
7613434853765,821172300620
7610200423566,204556800100
7613269319719,162026600000
7616800894201,162026600000
7640316321388,521115700000
7613136899757,821169200820
5702016618662,747372200000
7628871101911,833903033374
7610400020206,101354100000
7613312369791,505031700000
7613434845548,815340700420
7613434918334,802976230039
8710847901751,511057300000
7613404452127,130206900000
7628871041965,832195830250
7613064934070,704001100070
2020000650713,704001100070
7628871063981,706061400000
7613434127248,891907860942
7628871170931,848408200020
7613433598544,831223629210
8002190001838,110173300000
7613433562323,823720130384
7613312164587,514509000000
7613432894203,843030604420
7613296079099,843030604420
7610382664016,102711000000
7613312437124,102711000000
7613269333746,512412200000
7614700029334,512440800000
7610472857878,512440800000
7613404522769,251363201200
7613269477778,251363201200
8001090591937,511748600000
7702018570270,511748600000
4027800114306,511716500000
4027800014200,511716500000
4027800014309,511716500000
4027800414345,511716500000
4027800714353,511716500000
4027800414208,511716500000
4027800114207,511716500000
2123625000007,265303901000
7617027547055,265303901000
7613434854601,821172500683
7613312028438,106270000000
7628871016703,832726355520
7628871062014,711120400000
7610200339614,107060900000
4104420232167,162005000000
4104420176911,162005000000
4104420209930,162005000000
7613434882642,806551635374
3600542513746,514774000000
7616800490298,104477200000
4059779034934,746190600000
7613434855653,821173200910
7610200424686,203510000000
7623186191497,203510000000
7613269479949,113715100000
7611100442329,106531600000
4012013721298,848606900040
9120082229920,511535600000
7613433030907,703742700000
8004360090468,703742700000
7628871134483,863468433334
2150354000008,220624531000
7617027887908,220624531000
7628871122015,849124800020
7628871077117,805437530243
7613434012759,708101900000
4008033481359,708101900000
7613433477153,816338022220
7613312376058,120983100000
7613434059129,709311000000
7613404642856,265606702600
7617003185394,265606702600
5702017399683,743413700000
7613433522310,816341724403
7613312262153,102732600000
7613312208700,104168200000
8004030895300,154002500000
8004030895058,154002500000
3600530521814,517823500000
3600531458867,517823500000
7613269583479,113206800000
4008233112404,511938700000
7617400034349,110150500000
7613269192909,110150500000
7628871076226,702041700000
7613434850528,821171200648
7613247965587,700155900000
7613404038406,210184100000
7613434847283,822551900648
3600531513450,517619100000
7613312074060,520602100000
7628871109252,804692218440
7613312371961,513386500000
7640106090135,104640700000
7618300071502,513644700000
4005556151592,748979400000
4005556170852,748979400000
7613434703701,724214600000
4008233165974,511951400000
4008233164632,511951400000
3600531647919,517814500000
7613432953634,830219411120
7613346837747,830219411120
7613296338851,703234400000
7613312168141,505025100000
7613433381153,702028400000
3574661655024,513849300000
7613433523492,816336821420
4000068033572,106247000000
8445290145413,521101100000
7613434902388,728702000000
4055278056729,848610800020
5000354909702,158571900000
7613434321899,882213969060
7613312296141,522205600000
3430750214216,523019600000
7617020538685,708235001510
7610585110112,708235001510
7610406000912,708235001510
6941607330791,745761300000
7613434891019,805428808638
7613434852669,821173001020
7613433782363,823712800184
7613432924610,823712800184
7613345375479,823712800184
7613433525601,816340524320
8717163947685,513894100000
7613269298977,106506600000
7610121401087,106506600000
7613434942117,836100633306
7613404290651,200623700000
7613434234991,844978502538
7613294630025,704110000000
7617027631594,131021000000
7613312388402,152101800000
7613312274804,100121200000
7616500012127,100121200000
4251192101211,747317800000
2166867000008,105360400000
29155,105360400000
7613312325360,105360400000
7610582676581,236702750000
7610200260031,236702750000
7610582678059,236702750000
7613434096063,821300200883
2135576000005,270580302100
7617027549271,270580302100
4042677740168,743407100000
7613432451277,815330724310
2151074000002,233520921000
7617027919142,233520921000
7628871012453,700171600002
8720182477132,526764600000
7613312387627,526764600000
7613404765319,131560300000
0194735041213,747394900000
8005125163359,748518900300
7613434848983,766600400074
7641079003689,110199100000
4104420016521,104463400000
7613269433705,104463400000
2144534000001,210153122200
7617067005898,210153122200
7613434925387,832517322220
3600542380591,513378100000
7613404830635,210124600000
7640108573247,504956000000
7628871021998,804798318544
4064035119898,520360400000
7613434680903,848610300060
3616302988471,515231900000
7640468421042,160157200000
4043662024096,513374800000
4043662022290,513374800000
7613434910963,804990210443
2110086000004,210121026000
7617067003924,210121026000
7613269343967,507040500000
4009175193384,507040500000
7610352154226,220250814500
7613434863825,804989730540
7613312323717,153211700000
7610200390318,230640560000
4053201046809,847936400010
8720182136749,157212200000
8001310050022,156050100000
7613434122946,891526360581
7613404859230,251339960000
7613433603699,720679900000
7613295595569,720679900000
4008789067654,746084600000
7613434874234,815342500320
7628871107715,806240017843
7613434127446,891908208640
7613196013179,205083300000
7613196016644,205083300000
7613434914084,802973800000
7613432894081,843030603920
7613296078894,843030603920
7610200021465,720134600000
9000159197577,101923900000
7613433694116,830224100017
7613434887043,823722730340
7610200276612,107126300000
7613404653685,130163000000
7613295513105,720878400000
7610867016996,120818900000
7640164520216,120106100000
7613312271599,513226400000
4001638523127,513226400000
2168346000004,231040751110
7613404841907,231040751110
7290003440207,512506200000
4021457638970,523406000000
